nodeId	coords	edges
6112710_2	[47.374194191546266, 8.515109462819915, 461.3202344784513]	['4869049_0', '4858500_3', '6049122_8']
4859439_0	[47.36388447360724, 8.549069912372373, 455.63230610545725]	['6104362_0', '4859439_3', '6104363_3']
6131215_0	[47.389300880725415, 8.530097142476107, 460.0741720441729]	['4865055_0', '6131214_7', '6389331_10']
4858947_3	[47.37540648336791, 8.538285326588841, 456.70471322815865]	['4862291_1', '4869527_0', '4861928_1', '4858947_0']
5929980_0	[47.38685900704544, 8.533694378341002, 456.2960199583322]	['6265759_1', '5929980_9', '6127720_1', '4865062_3']
6117654_1	[47.36686589697322, 8.545522425946519, 455.9410047410056]	['6114413_10', '6117607_0', '6117650_0']
4858924_3	[47.37848615855197, 8.542642226040321, 456.6491731060669]	['6117847_7', '6127540_0', '6127905_0']
6127541_5	[47.3855979486307, 8.548394465772269, 534.5025461874902]	['6127542_7', '4857993_0', '4867586_12']
4865051_0	[47.38959033206257, 8.546986498804804, 544.1573926387355]	['4856954_3', '4865046_10', '4865046_10']
6125592_0	[47.38661559780154, 8.551522911570986, 587.1486949855462]	['4857974_0', '6233882_12', '6125591_0']
6233867_0	[47.389635493330196, 8.513125464546695, 449.8473414639011]	['6233955_1', '6233867_6', '6234122_1']
4859214_3	[47.37056857309676, 8.517544777764797, 462.84737966768444]	['4862537_0', '4869089_0', '4862100_4', '4862095_0']
4859174_3	[47.373870298785775, 8.518199156302844, 460.5789876617491]	['4858506_5', '4865575_2', '4865547_0']
4868902_1	[47.37646523230857, 8.534909511628602, 456.631312279962]	['4868902_0', '6244911_4', '4869505_0']
6244399_0	[47.36588351933807, 8.539802135211957, 455.51336972694844]	['4865718_1', '4861001_3', '6244392_1']
6388267_0	[47.374194525989665, 8.516516966045174, 460.6228198297322]	['6388266_0', '4862315_5', '4861950_2']
4864811_4	[47.371291235358164, 8.540981183227341, 463.17388242669404]	['4862513_4', '6115771_0', '4864812_10']
4858117_6	[47.37989886927423, 8.54077184223682, 453.27531945798546]	['4858257_2', '4858117_0', '4869309_0']
4866609_0	[47.36748288714172, 8.51754347651131, 485.87154169753194]	['4866176_0', '4868001_5', '4864596_0']
4859472_0	[47.36304789027228, 8.547199731469702, 455.16540433932096]	['4859472_2']
4859472_2	[47.36329514058123, 8.54809838545098, 455.20684409793466]	['4864620_0', '4859472_0', '6245695_0']
4868018_1	[47.364530832699714, 8.534557596934361, 455.6292298613116]	['4861026_5', '4862686_1', '4862712_8']
4864819_4	[47.3703351754051, 8.541891862596877, 455.21549282968044]	['4864819_0', '4866226_6', '6115776_2']
4864819_0	[47.37032090828167, 8.541510423788345, 455.76891510002315]	['4864819_4', '4864820_0', '4866226_6']
6060607_0	[47.377158303003874, 8.549271515151597, 504.09100085217506]	['6060607_2', '6060606_0', '6060605_12']
6113042_2	[47.37620166917158, 8.522521680086838, 458.2524743145332]	['6114962_10', '4862277_4', '4865399_1']
4862286_0	[47.37559873299814, 8.530605014258247, 457.0069386996329]	['4858192_0', '4865396_1', '4862297_0']
6245442_4	[47.3726582899086, 8.541733800130983, 455.9935079924762]	['6115383_7', '6245415_3', '6115383_0']
4865948_3	[47.36861200121479, 8.511298080725247, 472.4478284223005]	['4860969_0', '6239631_0', '4858140_5']
6245105_1	[47.37688596203826, 8.55442479436799, 526.4595198566094]	['4856932_1', '6245102_0', '4858175_4']
6112608_3	[47.36519571775442, 8.517598564349091, 484.70753379538655]	['4859467_11', '6112609_14', '6112589_0']
6159919_0	[47.38072411670589, 8.539418408819976, 453.4744989555329]	['4861831_12', '4865354_0', '4861831_0']
4869968_4	[47.36723834681367, 8.533924256840072, 455.9497100170702]	['6245709_4', '4862471_2', '4869968_0', '4857445_0']
4869968_0	[47.36660296447988, 8.533085084571713, 456.25223500747234]	['6240893_0', '4869968_4', '4862220_2', '6108946_4']
4861961_5	[47.372555461349336, 8.555908452089367, 496.918476998806]	['4861949_0']
6051554_3	[47.382149727909784, 8.512362557768322, 454.919935031794]	['4865228_0', '6051554_0', '6051552_7']
6051554_0	[47.38313999880513, 8.510048823828242, 454.35563499107957]	['6051554_3']
4865359_0	[47.380049124148925, 8.520649166216506, 456.79217324219644]	['4861844_0', '4858252_0', '6166640_0']
4857443_3	[47.36800999687088, 8.511167558917963, 473.60755154676735]	['4857443_0', '4860969_0', '6051103_3']
4857443_0	[47.36784830502427, 8.511048709652464, 473.908098468557]	['4857443_3']
4869324_0	[47.37813848739054, 8.517551475919557, 458.17334334831685]	['6246124_0', '4858178_0', '6166778_7', '4858930_0']
6112686_0	[47.36786474548305, 8.516076860245628, 481.09200543444604]	['6112684_13', '6411067_0', '6244262_0', '6112694_1']
6114412_5	[47.36648999580268, 8.540841377392312, 455.45971887372434]	['4864605_3', '4864610_4', '6117531_0']
4860379_0	[47.380423368002695, 8.537307756134522, 454.037421412766]	['4858589_0', '4860384_2', '4858594_0']
6388219_1	[47.38225978167636, 8.515333879651319, 454.0366603266448]	['6481179_1', '4858590_4', '6036996_10', '6234899_0']
6117207_11	[47.36785274771841, 8.52995035658257, 458.37408646568656]	['6114172_26', '6114308_11', '6114172_27', '6117209_3']
4857484_0	[47.364598315233906, 8.53154251664382, 456.7930877720937]	['4868003_5', '4857484_3', '6245801_4']
4857484_3	[47.364613661186326, 8.531855477282734, 456.46873210929334]	['4868016_1', '4857484_0', '4860989_0']
4865199_0	[47.37755098666368, 8.524259001949801, 457.36615665163845]	['4865199_26', '4869328_11', '4868888_12']
6265422_0	[47.36326601737332, 8.52230425462323, 462.04090481903404]	['6112550_11']
4858954_8	[47.3748386885457, 8.552326272306185, 498.8770547900349]	['6245093_1', '4858954_0', '4858954_0']
4865947_1	[47.36822303578193, 8.545014848749243, 455.3389286864549]	['6106171_0', '4862472_0', '4860957_0']
4858929_0	[47.376738028662515, 8.522833519862244, 457.7207414088771]	['4862277_4', '4865016_0', '4867592_4', '4862276_1']
6051731_8	[47.36712373837157, 8.512543602214304, 474.9055136498064]	['4857476_0', '6051733_0', '6239873_6']
4858271_2	[47.37894229421567, 8.529105276288723, 455.94659953191876]	['4858271_0', '4860390_1', '4861838_0', '4861369_0']
4858271_0	[47.3784418892441, 8.52856527314962, 456.3654673146084]	['4858271_2', '4861370_0', '4861350_3', '4861841_1']
4859179_0	[47.37249604260644, 8.543079266105496, 455.2025806698948]	['4858961_2', '4859184_0', '4865526_0']
6144758_8	[47.38066571450485, 8.525249341089566, 454.96591631975025]	['6144757_2', '4868743_0', '4865357_3']
6117183_2	[47.36616951229184, 8.532124852038267, 457.33334786910564]	['6117203_1', '6117183_0', '6117207_0']
6117183_0	[47.36588857542597, 8.532310140936671, 457.2469040257856]	['6240889_1', '6117182_2', '6117183_2']
4869800_7	[47.37327979065586, 8.524340709571582, 459.0643763905391]	['4859186_2', '6114780_0', '4858495_0']
4859171_7	[47.37315703343052, 8.542768994395336, 454.8771451190114]	['4865992_2', '6247119_0', '4858496_2']
6116926_5	[47.37501646928226, 8.53964415254282, 456.5603758972138]	['6116903_5', '6116901_4', '6116928_3']
6037025_14	[47.38309876376851, 8.514034674862287, 452.62174332886934]	['6051547_0', '6037025_5', '6037025_5']
6159816_0	[47.38498147401195, 8.524169433105678, 452.18157496582717]	['6159776_0', '6159775_0', '4859280_7']
6273351_0	[47.36845748358525, 8.541978349179017, 455.7573708444834]	['6273353_1']
4868703_20	[47.38495831865659, 8.551010208009819, 572.6026007765904]	['4868703_0', '6125381_14', '6233882_12']
6128134_5	[47.38322134386066, 8.5425504235835, 485.3057317212224]	['6166592_0', '6128136_0', '6128134_0']
4858206_7	[47.3722701870992, 8.537608335371152, 457.20169218536466]	['4865570_4', '4862308_2', '4861932_5']
6115689_4	[47.37694671695445, 8.543299437223673, 456.58958426490426]	['6115689_0', '6117847_7', '6115454_0']
6115689_0	[47.37703035057853, 8.54409929800994, 457.4965564934537]	['6246056_0', '6115689_4', '4861354_8']
4868619_9	[47.38819296703452, 8.547868255941864, 544.387204634957]	['4856954_3', '4861613_0', '6125387_2']
6048896_0	[47.37592459974789, 8.512379557838521, 460.61839671991765]	['6048896_4', '4858953_0', '6048896_4']
6048896_4	[47.37634058003076, 8.511787448928338, 460.4318902604282]	['6048896_0', '4858179_0', '6048896_0']
6388678_6	[47.37063009189386, 8.552564159284508, 476.10894589778036]	['4859204_2']
